contract_id,product,state,subscription_date,effective_date,annual_premium,end_date,subscriber_id,beneficiary_code,person_id,guarantee,segment,file_rate_year_1
AN-STABLE,VA-COMPAGNON,En cours,2025-10-19,2025-11-01,528,,SOUS-AN-STABLE,01,PERS-AN-STABLE,BASE,,
AN-SANS-EFFET,VA-COMPAGNON-PLUS,En cours,2026-01-22,2026-02-01,232,,SOUS-AN-SANS-EFFET,01,PERS-AN-SANS-EFFET,BASE,,
AN-RESILIE,VA-COMPAGNON,En cours,2025-08-15,2025-09-01,379,,SOUS-AN-RESILIE,01,PERS-AN-RESILIE,BASE,,
AN-ANOMALIE,VA-COMPAGNON-PLUS,Sans effet,2025-12-24,2026-01-01,315,,SOUS-AN-ANOMALIE,01,PERS-AN-ANOMALIE,BASE,,
AN-HAUSSE-PRIME,VA-COMPAGNON-PLUS,En cours,2025-12-08,2026-01-01,577,,SOUS-AN-HAUSSE-PRIME,01,PERS-AN-HAUSSE-PRIME,BASE,,
AN-BAISSE-PRIME,VA-COMPAGNON-PLUS,En cours,2025-12-05,2026-01-01,586,,SOUS-AN-BAISSE-PRIME,01,PERS-AN-BAISSE-PRIME,BASE,,
AN-0001,VA-COMPAGNON,En cours,2025-05-09,2025-05-30,504,,SOUS-AN-0001,01,PERS-AN-0001,BASE,,
AN-0002,VA-COMPAGNON-PLUS,En cours,2025-11-14,2025-11-22,146,,SOUS-AN-0002,01,PERS-AN-0002,BASE,,
AN-0003,VA-COMPAGNON,Mis en demeure,2025-12-26,2025-12-26,239,,SOUS-AN-0003,01,PERS-AN-0003,BASE,,
AN-0004,VA-COMPAGNON-PLUS,En cours,2025-10-26,2025-10-27,523,,SOUS-AN-0004,01,PERS-AN-0004,BASE,,
AN-0005,VA-COMPAGNON,En cours,2025-05-06,2025-05-24,325,,SOUS-AN-0005,01,PERS-AN-0005,BASE,,
AN-0006,VA-COMPAGNON,Suspendu,2025-06-29,2025-07-05,264,,SOUS-AN-0006,01,PERS-AN-0006,BASE,,
AN-0007,VA-COMPAGNON-PLUS,En cours,2025-10-18,2025-10-23,215,,SOUS-AN-0007,01,PERS-AN-0007,BASE,,
AN-0008,VA-COMPAGNON-PLUS,Mis en demeure,2025-07-27,2025-08-05,264,,SOUS-AN-0008,01,PERS-AN-0008,BASE,,
AN-0009,VA-COMPAGNON,En cours,2025-07-23,2025-08-02,168,,SOUS-AN-0009,01,PERS-AN-0009,BASE,,
AN-0010,VA-COMPAGNON,En cours,2025-07-16,2025-08-12,196,,SOUS-AN-0010,01,PERS-AN-0010,BASE,,
AN-0011,VA-COMPAGNON,Mis en demeure,2025-09-20,2025-10-09,340,,SOUS-AN-0011,01,PERS-AN-0011,BASE,,
AN-0012,VA-COMPAGNON,Suspendu,2025-04-09,2025-05-08,387,,SOUS-AN-0012,01,PERS-AN-0012,BASE,,
AN-0013,VA-COMPAGNON-PLUS,En cours,2025-04-30,2025-05-06,398,,SOUS-AN-0013,01,PERS-AN-0013,BASE,,
AN-0014,VA-COMPAGNON-PLUS,En cours,2025-05-18,2025-05-31,133,,SOUS-AN-0014,01,PERS-AN-0014,BASE,,
AN-0015,VA-COMPAGNON,Mis en demeure,2025-10-14,2025-10-23,521,,SOUS-AN-0015,01,PERS-AN-0015,BASE,,
AN-0016,VA-COMPAGNON-PLUS,En cours,2025-08-24,2025-09-16,436,,SOUS-AN-0016,01,PERS-AN-0016,BASE,,
AN-0017,VA-COMPAGNON-PLUS,Mis en demeure,2025-09-15,2025-09-18,225,,SOUS-AN-0017,01,PERS-AN-0017,BASE,,
AN-0018,VA-COMPAGNON-PLUS,En cours,2025-09-12,2025-09-27,156,,SOUS-AN-0018,01,PERS-AN-0018,BASE,,
AN-0019,VA-COMPAGNON,En cours,2025-06-24,2025-07-22,178,,SOUS-AN-0019,01,PERS-AN-0019,BASE,,
AN-0020,VA-COMPAGNON-PLUS,En cours,2025-12-14,2025-12-21,379,,SOUS-AN-0020,01,PERS-AN-0020,BASE,,
AN-0021,VA-COMPAGNON,En cours,2026-01-02,2026-01-12,275,,SOUS-AN-0021,01,PERS-AN-0021,BASE,,
AN-0022,VA-COMPAGNON-PLUS,Suspendu,2025-08-15,2025-09-07,237,,SOUS-AN-0022,01,PERS-AN-0022,BASE,,
AN-0023,VA-COMPAGNON,En cours,2025-06-27,2025-07-12,532,,SOUS-AN-0023,01,PERS-AN-0023,BASE,,
AN-0024,VA-COMPAGNON,En cours,2025-10-26,2025-11-13,216,,SOUS-AN-0024,01,PERS-AN-0024,BASE,,
AN-0025,VA-COMPAGNON,Mis en demeure,2025-09-13,2025-10-04,338,,SOUS-AN-0025,01,PERS-AN-0025,BASE,,
